nacc_id,title,first_name,last_name,position,submitted_case,submitted_date,disclosure_announcement_date,disclosure_start_date,disclosure_end_date,agency,date_by_submitted_case,royal_start_date,create_at,submitter_id
62,นางสาว,วทันยา,บุนนาค,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,16/8/2022,13/12/2022,13/12/2022,10/6/2023,สำนักงานเลขาธิการสภาผู้แทนราษฎร,5/6/2019,,,40
63,พลเรือเอก,สมประสงค์,นิลสมัย,สมาชิกวุฒิสภา (สว.),กรณีพ้นจากตำแหน่ง,22/11/2022,13/12/2022,13/12/2022,10/6/2023,รัฐสภา,1/10/2022,1/10/2021,,80
66,พล.อ.,อ.นภาเดช,ธูปะเตมีย์,สมาชิกวุฒิสภา (สว.),กรณีพ้นจากตำแหน่ง,22/11/2022,13/12/2022,13/12/2022,10/6/2023,รัฐสภา,1/10/2022,1/9/2017,,86
70,พลเอก,วรเกียรติ,รัตนานนท์,สมาชิกวุฒิสภา (สว.),กรณีพ้นจากตำแหน่ง,1/10/2022,13/12/2022,13/12/2022,10/6/2023,สำำนักเลขาธิการวุฒิสภา,1/4/2018,14/3/2018,,87
218,พลเอก,สมศักดิ์,นิลบรรเจิดกุล,สมาชิกวุฒิสภา (สว.),กรณีเข้ารับตำแหน่ง,26/12/2022,20/1/2023,20/1/2023,18/7/2023,รัฐสภา,1/11/2022,,,88
328,นาย,ประพันธุ์,คูณมี,สมาชิกวุฒิสภา (สว.),กรณีเข้ารับตำแหน่ง,9/2/2023,3/3/2023,3/3/2023,29/8/2023,รัฐสภา,6/12/2022,2/12/2022,,89
349,นาย,ยอดยิ่ง,แสนยากุล,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีเข้ารับตำแหน่ง,29/12/2022,15/3/2023,15/3/2023,10/9/2023,พรรคพลังท้องถิ่นไท,29/12/2022,27/12/2022,,90
352,นาย,เชิงชาย,ชาลีรินทร์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,14/2/2023,15/3/2023,15/3/2023,10/9/2023,รัฐบาล,22/12/2022,25/5/2019,,91
354,นาย,ธนะสิทธิ์,โควสุรัตน์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,14/2/2023,15/3/2023,15/3/2023,10/9/2023,รัฐสภา,15/12/2022,25/5/2019,,92
388,นางสาว,กานต์กนิษฐ์,แห้วสันตติ,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,9/3/2023,30/3/2023,30/3/2023,25/9/2023,รัฐสภา,11/1/2023,25/5/2019,,93
400,นาย,ภูดิท,อินสุวรรณ์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,14/3/2023,5/4/2023,5/4/2023,1/10/2023,รัฐสภา,31/1/2023,25/5/2019,,94
495,นาย,นิโรธ,สุนทรเลขา,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,21/4/2023,1/5/2023,12/5/2023,7/11/2023,รัฐสภา,10/3/2023,,,95
501,นาง,ศิริวรรณ,ปราศจากศัตรู,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,21/4/2023,1/5/2023,12/5/2023,7/11/2023,รัฐสภา,23/2/2023,,,96
508,นาย,สมบัติ,อำนาคะ,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,25/4/2023,2/5/2023,15/5/2023,10/11/2023,,24/2/2023,,,161
