asset_id,submitter_id,nacc_id,building_doc_number,sub_district,district,province,latest_submitted_date
2623,40,62,2500,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,2022-12-13
2624,40,62,"320, 321, 322, 329, 324",คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,2022-12-13
2625,40,62,114172,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,2022-12-13
2626,40,62,23111,นวมินทร์,บึงกุ่ม,กรุงเทพมหานคร,2022-12-13
2627,40,62,"7124, 7125, 7316, 11852, 176836, 176844",พระโขนง,พระโขนง,กรุงเทพมหานคร,2022-12-13
2628,40,62,16157,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,2022-12-13
2629,40,62,114175,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,2022-12-13
2822,42,663,"20429, 20430",ปากเกร็ด,ปากเกร็ด,นนทบุรี,2023-06-07
2880,43,688,19476,รั้วใหญ่,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2881,43,688,16196,รั้วใหญ่,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
3203,46,975,"329873, 329874, 329875",ปากน้ำ,เมืองสมุทรปราการ,สมุทรปราการ,2023-07-04
3204,46,975,109968,,ตลิ่งชัน,กรุงเทพมหานคร,2023-07-04
3205,46,975,109968,,ตลิ่งชัน,กรุงเทพมหานคร,2023-07-04
3282,49,1735,263672,บ้านเป็ด,เมืองขอนแก่น,ขอนแก่น,2019-10-15
3283,49,1735,102910,ศิลา,เมืองขอนแก่น,ขอนแก่น,2019-10-15
3448,51,1972,22060,กลางเวียง,เวียงสา,น่าน,2019-10-15
3449,51,1972,20208,กลางเวียง,เวียงสา,น่าน,2019-10-15
3450,51,1972,105844,รังสิต,ธัญบุรี,ปทุมธานี,2019-10-15
3451,51,1972,88786,บางยี่โท,ธัญบุรี,ปทุมธานี,2019-10-15
3452,51,1972,531,หนองน้ำแดง,ปากช่อง,นครราชสีมา,2019-10-15
3453,51,1972,55383,,หลักสี่,กรุงเทพมหานคร,2019-10-15
3454,51,1972,55383,,หลักสี่,กรุงเทพมหานคร,2019-10-15
3455,51,1972,55383,,หลักสี่,กรุงเทพมหานคร,2019-10-15
3483,52,2248,,นาจอมเทียน,สัตหีบ,ชลบุรี,2011-05-15
3494,54,989,14646,บางบอนใต้,บางบอน,กรุงเทพมหานคร,2023-07-07
3520,55,1615,18087,กู่ทอง,เชียงยืน,มหาสารคาม,2019-10-15
3521,55,1615,29659,ในเมือง,เมืองขอนแก่น,ขอนแก่น,2019-10-15
3522,55,1615,29659,ในเมือง,เมืองขอนแก่น,ขอนแก่น,2019-10-15
3523,55,1615,29661,ในเมือง,เมืองขอนแก่น,ขอนแก่น,2019-10-15
3524,55,1615,29657,ในเมือง,เมืองขอนแก่น,ขอนแก่น,2019-10-15
