asset_id,submitter_id,nacc_id,land_doc_number,rai,ngan,sq_wa,sub_distirict,distirict,province,latest_submitted_date
2616,40,62,114172,0,0,28,คลองตัน,พระโขนง,กรุงเทพมหานคร,2022-12-13
2617,40,62,114173,0,0,28,คลองตัน,พระโขนง,กรุงเทพมหานคร,2022-12-13
2618,40,62,114174,0,0,28,คลองตัน,พระโขนง,กรุงเทพมหานคร,2022-12-13
2619,40,62,23111,0,0,52.5,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,2022-12-13
2620,40,62,62167,0,1,17,ดอกไม้,พระโขนง,กรุงเทพมหานคร,2022-12-13
2621,40,62,16157,0,2,60,คลองตัน,พระโขนง,กรุงเทพมหานคร,2022-12-13
2622,40,62,114175,0,0,28,คลองตัน,พระโขนง,กรุงเทพมหานคร,2022-12-13
2814,42,663,4397,53,3,49,เชียงรากน้อย,บางปะอิน,พระนครศรีอยุธยา,2023-06-07
2815,42,663,30710,2,1,9,ลำไทร,วังน้อย,พระนครศรีอยุธยา,2023-06-07
2816,42,663,20429,0,1,29,ปากเกร็ด,ปากเกร็ด,นนทบุรี,2023-06-07
2817,42,663,20430,1,2,4,ปากเกร็ด,ปากเกร็ด,นนทบุรี,2023-06-07
2818,42,663,10983,2,0,62,เกาะเรียน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,2023-06-07
2819,42,663,10568,0,3,19,เกาะเรียน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,2023-06-07
2820,42,663,10983,2,0,62,เกาะเรียน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,2023-06-07
2821,42,663,10568,0,3,19,เกาะเรียน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,2023-06-07
2850,43,688,19476,10,0,0,รั้วใหญ่,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2851,43,688,19600,8,3,96,ดอนโพธิ์ทอง,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2852,43,688,6202,22,3,85,โคกโคเฒ่า,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2853,43,688,6244,27,0,20,โคกโคเฒ่า,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2854,43,688,6271,28,1,27,โคกโคเฒ่า,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2855,43,688,6302,18,1,52,โคกโคเฒ่า,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2856,43,688,12741,14,3,78,โคกโคเฒ่า,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2857,43,688,12743,15,3,87,โคกโคเฒ่า,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2858,43,688,19873,2,3,71,โคกโคเฒ่า,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2859,43,688,19874,2,1,11,โคกโคเฒ่า,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2860,43,688,21702,11,0,0,โคกโคเฒ่า,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2861,43,688,30604,5,2,78,โคกโคเฒ่า,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2862,43,688,32191,0,3,26,โคกโคเฒ่า,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2863,43,688,43407,56,2,11,โคกโคเฒ่า,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2864,43,688,16196,4,0,60,รั้วใหญ่,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2865,43,688,6248,46,0,72,โคกโคเฒ่า,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2866,43,688,6249,29,0,32,โคกโคเฒ่า,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2867,43,688,6255,34,0,56,โคกโคเฒ่า,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2868,43,688,14118,0,1,19,ท่าพี่เลี้ยง,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2869,43,688,14119,1,2,93,ท่าพี่เลี้ยง,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2870,43,688,807,9,0,85,พิหารแดง,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2871,43,688,12991,1,2,28,พิหารแดง,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2872,43,688,17721,1,0,0,พิหารแดง,เมืองสุพรรณบุรี,สุพรรณบุรี,2023-05-30
2873,43,688,5309,38,3,91,ตะค่า,บางปลาม้า,สุพรรณบุรี,2023-05-30
2874,43,688,5310,7,0,20,ตะค่า,บางปลาม้า,สุพรรณบุรี,2023-05-30
2875,43,688,9836,17,0,14,ตะค่า,บางปลาม้า,สุพรรณบุรี,2023-05-30
2876,43,688,20551,3,2,12,ตะค่า,บางปลาม้า,สุพรรณบุรี,2023-05-30
2877,43,688,13127,3,3,55,วังยาง,ศรีประจันต์,สุพรรณบุรี,2023-05-30
2878,43,688,180052,1,0,10,บางตลาด,ปากเกร็ด,นนทบุรี,2023-05-30
2879,43,688,180051,1,0,20,บางตลาด,ปากเกร็ด,นนทบุรี,2023-05-30
3196,46,975,109968,0,1,68.9,,ตลิ่งชัน,กรุงเทพมหานคร,2023-07-04
3197,46,975,109968,0,1,68.9,,ตลิ่งชัน,กรุงเทพมหานคร,2023-07-04
