asset_id,submitter_id,nacc_id,index,asset_type_id,asset_type_other,asset_name,date_acquiring_type_id,acquiring_date,acquiring_month,acquiring_year,date_ending_type_id,ending_date,ending_month,ending_year,asset_acquisition_type_id,valuation,owner_by_submitter,owner_by_spouse,owner_by_child,latest_submitted_date
2616,40,62,1,1,,โฉนด,1,6,7,2011,4,,,,6,10080000,TRUE,FALSE,FALSE,2022-12-13
2617,40,62,2,1,,โฉนด,1,26,9,2011,4,,,,6,10080000,TRUE,FALSE,FALSE,2022-12-13
2618,40,62,3,1,,โฉนด,1,6,7,2012,4,,,,6,10080000,TRUE,FALSE,FALSE,2022-12-13
2619,40,62,4,1,,โฉนด,1,10,10,2013,4,,,,6,1837500,TRUE,FALSE,FALSE,2022-12-13
2620,40,62,5,1,,โฉนด,1,25,3,2005,4,,,,6,2925000,FALSE,TRUE,FALSE,2022-12-13
2621,40,62,6,1,,โฉนด,1,16,10,2018,4,,,,6,104000000,FALSE,TRUE,FALSE,2022-12-13
2622,40,62,7,1,,โฉนด,1,10,6,2022,4,,,,6,10640000,FALSE,TRUE,FALSE,2022-12-13
2623,40,62,1,13,,ห้องชุดเพนท์เฮ้าส์,1,31,7,2017,4,,,,6,92000000,TRUE,FALSE,FALSE,2022-12-13
2624,40,62,2,13,,ห้องชุด,1,20,12,2010,4,,,,6,16500000,TRUE,FALSE,FALSE,2022-12-13
2625,40,62,3,37,ทาวน์เฮ้าส์,ทาวน์เฮ้าส์,1,6,7,2011,4,,,,6,630000,TRUE,FALSE,FALSE,2022-12-13
2626,40,62,4,10,,บ้านเดี่ยว 3 ชั้น,1,10,10,2013,4,,,,6,2076460,TRUE,FALSE,FALSE,2022-12-13
2627,40,62,5,13,,ห้องชุด,1,26,2,2010,4,,,,6,7500000,FALSE,TRUE,FALSE,2022-12-13
2628,40,62,6,10,,บ้านเดี่ยว,1,16,10,2018,4,,,,6,656180,FALSE,TRUE,FALSE,2022-12-13
2629,40,62,7,37,ทาวน์เฮ้าส์,ทาวน์เฮ้าส์,1,10,6,2022,4,,,,6,580440,FALSE,TRUE,FALSE,2022-12-13
2630,40,62,1,19,,รถจักรยานยนต์,1,29,8,2013,4,,,,6,18900,TRUE,FALSE,FALSE,2022-12-13
2631,40,62,2,18,,รถยนต์,1,2,4,2019,4,,,,6,2800000,TRUE,FALSE,FALSE,2022-12-13
2632,40,62,3,18,,รถยนต์,1,10,10,2014,4,,,,6,2150000,FALSE,TRUE,FALSE,2022-12-13
2633,40,62,4,18,,รถยนต์,1,21,2,2019,4,,,,6,2280000,FALSE,TRUE,FALSE,2022-12-13
