asset_id,submitter_id,nacc_id,registration_number,vehicle_model,province,latest_submitted_date
2630,40,62,1กค5025,HONDA WAVE,นครราชสีมา,2022-12-13
2631,40,62,นล55,Volkswagen Caravelle Minorchange 2 ปี 2019,กรุงเทพมหานคร,2022-12-13
2632,40,62,ญภ5566,Mercedes Benz S400 Hybrid,กรุงเทพมหานคร,2022-12-13
2633,40,62,1นก1327,Mercedes Benz Sprinter 319 CDI VAN,กรุงเทพมหานคร,2022-12-13
2634,40,62,ฉบ999,Mercedes Benz C300e AMG,กรุงเทพมหานคร,2022-12-13
2635,40,62,สฬ6655,Lexus,กรุงเทพมหานคร,2022-12-13
2882,43,688,ษษ18,TOYOTA VELLFIRE Z G EDITION 2.5L,กรุงเทพมหานคร,2023-05-30
2883,43,688,ฉว5555,TOYOTA VELLFIRE 2.5 HYBRID ZR G,กรุงเทพมหานคร,2023-05-30
2884,43,688,กท168,ISUZU mu-X,สุพรรณบุรี,2023-05-30
2885,43,688,ศศ909,TOYOTA Fortuner,กรุงเทพมหานคร,2023-05-30
2886,43,688,1กฌ8888,VESPA 946150,สุพรรณบุรี,2023-05-30
2887,43,688,ชท1,PORSCHE 911 CARRERA 4S,กรุงเทพมหานคร,2023-05-30
2888,43,688,ภฐ8888,PORSCHE CA YENNE 9YA E-HYBRID,กรุงเทพมหานคร,2023-05-30
2889,43,688,ภธ18,MINI COOPER SE HATCH RHD,กรุงเทพมหานคร,2023-05-30
3206,46,975,ธอ8798,BENZ,กรุงเทพมหานคร,2023-07-04
3207,46,975,วภ9679,BENZ,กรุงเทพมหานคร,2023-07-04
3208,46,975,ชฮ230,BENZ,กรุงเทพมหานคร,2023-07-04
3209,46,975,3กพ84,MAZDA,กรุงเทพมหานคร,2023-07-04
3210,46,975,5กค1947,HARLEY,กรุงเทพมหานคร,2023-07-04
3211,46,975,กยว673,HARLEY,กรุงเทพมหานคร,2023-07-04
3212,46,975,ฬคย88,TRIUMPH,กรุงเทพมหานคร,2023-07-04
3213,46,975,3ขธ180,VESPA,กรุงเทพมหานคร,2023-07-04
3214,46,975,6กม70,VESPA,กรุงเทพมหานคร,2023-07-04
3215,46,975,CO7100065/0000032,BSA,,2023-07-04
3216,46,975,4กฌ2035,TOYOTA,กรุงเทพมหานคร,2023-07-04
3284,49,1735,1กพ500,,ขอนแก่น,2019-10-15
3285,49,1735,บพ4648,,ขอนแก่น,2019-10-15
3456,51,1972,กง3111,โตโยต้า,น่าน,2019-10-15
3457,51,1972,กง4750,อีซูซุ,น่าน,2019-10-15
3458,51,1972,ฆฆ54,ฮอนด้า CRV,กรุงเทพมหานคร,2019-10-15
3459,51,1972,ฎฟ9477,BENZ C200k,กรุงเทพมหานคร,2019-10-15
3460,51,1972,กน8688,ไดฮัทสุ,สระบุรี,2019-10-15
3461,51,1972,ธค7299,BENZ E280,กรุงเทพมหานคร,2019-10-15
3462,51,1972,ตค925,KUBOTA,นนทบุรี,2019-10-15
3484,52,2248,พร6868,TOYOTA AVANZA,กรุงเทพมหานคร,2011-05-15
3485,52,2248,งล1,BENZ E280,กรุงเทพมหานคร,2011-05-15
3486,52,2248,ธห1,PORSCHE CAYENNE,กรุงเทพมหานคร,2011-05-15
3495,54,989,9กช3346,Honda HRV,กรุงเทพมหานคร,2023-07-07
3525,55,1615,พม1131,BMW,กรุงเทพมหานคร,2019-10-15
3526,55,1615,นข9268,VOLKSWAGEN,ขอนแก่น,2019-10-15
3527,55,1615,กย9863,โตโยต้า,ขอนแก่น,2019-10-15
3731,58,2430,งค9889,โตโยต้า อัลพาร์ด,กรุงเทพมหานคร,2022-02-10
3732,58,2430,ฮล9001,โฟล์ค สวาเกน,กรุงเทพมหานคร,2022-02-10
3747,53,907,3กม1626,ฮอนด้า DREAM,กรุงเทพมหานคร,2023-06-27
3755,61,2028,อษ2828,,กรุงเทพมหานคร,2019-10-15
3757,60,2087,3กม1626,,กรุงเทพมหานคร,2019-10-15
3764,62,905,ฐฐ9999,S350 D,กรุงเทพมหานคร,2023-06-28
3841,63,1039,,,อุทัยธานี,2023-07-13
3842,63,1039,,,อุทัยธานี,2023-07-13
3843,63,1039,,,อุทัยธานี,2023-07-13
3844,63,1039,,,อุทัยธานี,2023-07-13
3845,63,1039,,,อุทัยธานี,2023-07-13
3846,63,1039,,,อุทัยธานี,2023-07-13
3847,63,1039,,,กรุงเทพมหานคร,2023-07-13
3848,63,1039,,,กรุงเทพมหานคร,2023-07-13
3849,63,1039,,,อุทัยธานี,2023-07-13
3850,63,1039,,,กรุงเทพมหานคร,2023-07-13
3851,63,1039,,,อุทัยธานี,2023-07-13
3852,63,1039,,,กรุงเทพมหานคร,2023-07-13
3878,64,1969,ฆว3046,HYUNDAI สีขาว รุ่นปี ค.ศ.2012,กรุงเทพมหานคร,2019-10-15
4110,69,544,กข 8999,Toyota Fortuner,บุรีรัมย์,2023-05-16
4111,69,544,ฮย 4997,Volkswagen Caravelle Touring 2.0L,กรุงเทพมหานคร,2023-05-16
4131,71,1959,2ฐ-0011,,กรุงเทพมหานคร,2019-10-15
4145,72,3440,ฌภ21,Ford Ranger รุ่นปี 2005,กรุงเทพมหานคร,2023-11-21
4146,72,3440,ญค1881,Mercedes Benz S600L รุ่นปี 2011,กรุงเทพมหานคร,2023-11-21
4147,72,3440,ชม121,Porsche Panamera รุ่นปี 2009,กรุงเทพมหานคร,2023-11-21
4148,72,3440,ธจ1122,Toyota Alphard รุ่นปี 2023,กรุงเทพมหานคร,2023-11-21
4149,72,3440,ธท9797,Toyota Alphard รุ่นปี 2012,กรุงเทพมหานคร,2023-11-21
4530,79,2446,8ษ3153,Chrysler Neon,กรุงเทพมหานคร,2019-10-15
4531,79,2446,8ภศ8785,Toyota Altis,กรุงเทพมหานคร,2019-10-15
4541,80,63,ญช20,Toyota Innova,กรุงเทพมหานคร,2022-12-13
4542,80,63,5กช5113(ษษ20),Toyota VIOS,กรุงเทพมหานคร,2022-12-13
4543,80,63,นย20,Toyota มาเจสตี้,กรุงเทพมหานคร,2022-12-13
4708,84,2423,3กฬ-1907,BMW,กรุงเทพมหานคร,2021-12-15
4709,84,2423,8ฮ-3096,BMW,กรุงเทพมหานคร,2021-12-15
4710,84,2423,ฮท-3782,โฟล์ค,กรุงเทพมหานคร,2021-12-15
4711,84,2423,สค-4646,Honda,กรุงเทพมหานคร,2021-12-15
4712,84,2423,7กท-2496,Honda CRV,กรุงเทพมหานคร,2021-12-15
4737,85,3420,ภน9939,Volkswagen-Beetle,กรุงเทพมหานคร,2023-11-21
4738,85,3420,ขข2211,Lexus-LS600H,กรุงเทพมหานคร,2023-11-21
4739,85,3420,2กฬ2211,Lexus-LM300H,กรุงเทพมหานคร,2023-11-21
4740,85,3420,8กว78,Jaguar-I-Pace AWD HSE,กรุงเทพมหานคร,2023-11-21
4741,85,3420,8กฎ8866,Mercedes Benz-V250d,กรุงเทพมหานคร,2023-11-21
4800,86,66,7อ7707,BENZ,กรุงเทพมหานคร,2022-12-13
4801,86,66,ชม2662,BENZ,กรุงเทพมหานคร,2022-12-13
4802,86,66,3กฎ26,Toyota,กรุงเทพมหานคร,2022-12-13
4803,86,66,4กฉ19,Benz,กรุงเทพมหานคร,2022-12-13
4804,86,66,ฬอ3333,Volkswagen,กรุงเทพมหานคร,2022-12-13
4805,86,66,ชฎ8340,Nissan,กรุงเทพมหานคร,2022-12-13
4806,86,66,2อ9918,ฺBenz,กรุงเทพมหานคร,2022-12-13
4807,86,66,2กจ929,ฺBenz,กรุงเทพมหานคร,2022-12-13
4808,86,66,ฏฟ929,Toyota,กรุงเทพมหานคร,2022-12-13
4809,86,66,ฏช9929,Toyota,กรุงเทพมหานคร,2022-12-13
4810,86,66,ญย19,Toyota,กรุงเทพมหานคร,2022-12-13
4811,86,66,วค1101,Toyota,กรุงเทพมหานคร,2022-12-13
4812,86,66,ฏส987,Mitsubishi,กรุงเทพมหานคร,2022-12-13
4821,87,70,บท2036,Honda Accord,กรุงเทพมหานคร,2022-12-13
4822,87,70,1ขฎ2036,ฺBMW รุ่น 520D,กรุงเทพมหานคร,2022-12-13
4823,87,70,7กว2036,Honda HR-V,กรุงเทพมหานคร,2022-12-13
4838,88,218,สจ4554,Honda Civic,กรุงเทพมหานคร,2023-01-20
4839,88,218,กค38,Toyota,เพชรบูรณ์,2023-01-20
4840,88,218,ก4554,Honda Accord,เพชรบูรณ์,2023-01-20
4841,88,218,2กจ4554,Honda Accord,กรุงเทพมหานคร,2023-01-20
4855,89,328,ญณ8111,Honda CRZ,กรุงเทพมหานคร,2023-03-03
4856,89,328,1ขก199,VOLVO XC90,กรุงเทพมหานคร,2023-03-03
4857,89,328,ญฉ199,MERCEDES BENZ CLS300d,กรุงเทพมหานคร,2023-03-03
4880,91,352,กบย398,,ชัยภูมิ,2023-03-15
4881,91,352,1กธ789,,ชัยภูมิ,2023-03-15
4882,91,352,1กอ9309,,นครราชสีมา,2023-03-15
4883,91,352,1ขล41,,กรุงเทพมหานคร,2023-03-15
4901,92,354,กค111,BENZ,อุบลราชธานี,2023-03-15
4902,92,354,กจ45,BENZ,อุบลราชธานี,2023-03-15
4903,92,354,ขข8499,JEEP,อุบลราชธานี,2023-03-15
4904,92,354,กม4701,FORD,อุบลราชธานี,2023-03-15
4905,92,354,นข8218,JEEP,อุบลราชธานี,2023-03-15
4906,92,354,กธ5678,อีซูซุ,อุบลราชธานี,2023-03-15
4907,92,354,กค5678,TOYOTA,อุบลราชธานี,2023-03-15
4908,92,354,7ฎอ3333,TOYOTA,อุบลราชธานี,2023-03-15
4966,94,400,กษ3713,โตโยต้า FORTUNER,พิษณุโลก,2023-04-05
4967,94,400,บษ2549,โตโยต้า,พิษณุโลก,2023-04-05
4968,94,400,ขงค620,ไม่ระบุ,พิจิตร,2023-04-05
4969,94,400,ขงร808,ไม่ระบุ,พิจิตร,2023-04-05
5036,96,501,ม1151,อีซูซุ,แพร่,2023-05-01
5037,96,501,ถห9671,โตโยต้า,กรุงเทพมหานคร,2023-05-01
5038,96,501,กข1898,โตโยต้า,แพร่,2023-05-01
5039,96,501,กค3116,โตโยต้า,ฉะเชิงเทรา,2023-05-01
5040,96,501,กบจ644,ฮอนด้า,แพร่,2023-05-01
5041,96,501,ธ4319,ฮอนด้า,แพร่,2023-05-01
5042,96,501,1กภ2495,โตโยต้า,กรุงเทพมหานคร,2023-05-01
5057,97,539,มอง999,,กรุงเทพมหานคร,2023-05-16
5058,97,539,ขยง1,,ร้อยเอ็ด,2023-05-16
5059,97,539,ฮจ7777,,กรุงเทพมหานคร,2023-05-16
5060,97,539,ฮล1906,,กรุงเทพมหานคร,2023-05-16
5061,97,539,ญล3627,,กรุงเทพมหานคร,2023-05-16
5062,97,539,กฉ2,,ร้อยเอ็ด,2023-05-16
5063,97,539,พฮ4444,,กรุงเทพมหานคร,2023-05-16
5064,97,539,1ขส6856,,กรุงเทพมหานคร,2023-05-16
5065,97,539,กพ9789,,ร้อยเอ็ด,2023-05-16
