nacc_id,statement_type_id,valuation_submitter,submitter_id,valuation_spouse,valuation_child,latest_submitted_date
62,1,4963378.22,40,26829714.25,52308.97,2022-12-13
62,2,15845100,40,2220446,35086229.03,2022-12-13
62,3,,40,16726000,1362720,2022-12-13
62,4,285301840.8,40,240075840.7,10655058.79,2022-12-13
62,5,81289886.34,40,45149407.88,,2022-12-13
663,1,1408971.92,42,546573.86,,2023-06-07
663,2,156000,42,102000,,2023-06-07
663,3,,42,,,2023-06-07
663,4,277909923.3,42,64988071.12,,2023-06-07
663,5,,42,76615.54,,2023-06-07
688,1,3773670.16,43,191381.05,,2023-05-30
688,2,6192360,43,,,2023-05-30
688,3,2732880,43,,,2023-05-30
688,4,655257139,43,159709597.1,11123424.38,2023-05-30
688,5,,43,,,2023-05-30
975,1,600000,46,1500000,,2023-07-04
975,2,535760,46,1065000,,2023-07-04
975,3,1362720,46,1100000,,2023-07-04
975,4,43964860.7,46,13297665.38,,2023-07-04
975,5,6518723.52,46,4944109.59,,2023-07-04
1735,1,546480,49,,,2019-10-15
1735,2,341000,49,,,2019-10-15
1735,3,,49,,,2019-10-15
1735,4,10470797.52,49,,,2019-10-15
1735,5,1571496.92,49,,,2019-10-15
1972,1,1362720,51,7300000,,2019-10-15
1972,2,536492,51,1427440,140000,2019-10-15
1972,3,,51,,,2019-10-15
1972,4,10278836.33,51,569199428.9,64497.13,2019-10-15
1972,5,2953893.32,51,8730342.07,,2019-10-15
2248,1,15000000,52,,,2011-05-15
2248,2,,52,,,2011-05-15
2248,3,,52,,,2011-05-15
2248,4,306691140.8,52,,,2011-05-15
2248,5,13903.19,52,,,2011-05-15
989,1,1936737.35,54,384000,,2023-07-07
989,2,1799290.53,54,,149438.58,2023-07-07
989,3,,54,,1415326.75,2023-07-07
989,4,5341603.72,54,8039177.93,,2023-07-07
989,5,,54,6602028.18,,2023-07-07
1615,1,143856,55,279738.2,,2019-10-15
1615,2,,55,,,2019-10-15
1615,3,,55,,,2019-10-15
1615,4,11818579.52,55,27185580.19,,2019-10-15
1615,5,5233534.95,55,3807303.41,,2019-10-15
2430,1,2065258,58,243940,5604,2022-02-10
2430,2,1152500,58,,1692500,2022-02-10
2430,3,,58,,,2022-02-10
2430,4,92938712,58,43560716,12866820,2022-02-10
2430,5,,58,,,2022-02-10
907,1,2568670,53,343475.56,,2023-06-27
907,2,735810,53,,214910,2023-06-27
907,3,,53,318475.56,1368670,2023-06-27
907,4,3747466.59,53,4577610.71,,2023-06-27
